"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Age of Empires","1997","Strategy",190262.81,156839.89,255,96
"Age of Empires II","1999","Strategy",1815535.12,619037.87,1172,815
"Age of Empires III","2005","Strategy",68113.85,41500,106,76
"Age of Empires Online","2011","Strategy",3778.56,0,17,10
"Age of Mythology","2002","Strategy",52360,52000,22,6
"Among Us","2018","Strategy",76000,0,12,7
"Auto Chess","2019","Strategy",1076322.28,1035522.28,72,6
"Brawl Stars","2018","Strategy",94950,86250,51,10
"Chess.com","2007","Strategy",1190988.94,0,661,205
"chess24","2014","Strategy",1704696.09,0,65,13
"Clash of Clans","2012","Strategy",2631062.87,1127101.87,191,35
"Clash Royale","2016","Strategy",3363348.27,3149638.98,290,51
"Command & Conquer 3","2007","Strategy",53086.67,53086.67,9,8
"Company of Heroes 2","2013","Strategy",8561.22,7956.22,11,6
"ComPet","2016","Strategy",2000,0,50,1
"Dead By Daylight","2016","Strategy",60000,0,35,9
"Dota Underlords","2019","Strategy",26024.18,0,62,36
"Endgods","2015","Strategy",0,0,0,0
"Farming Simulator 19","2018","Strategy",331828.88,119445.81,97,16
"Grey Goo","2015","Strategy",36400,30400,18,5
"Heroes of Might and Magic III","1999","Strategy",0,0,0,0
"Identity V","2018","Strategy",31911.1,31911.1,6,1
"Internet Chess Club","1995","Strategy",10000,0,6,1
"Iron Harvest","2020","Strategy",0,0,0,0
"Lichess","2010","Strategy",1178011.93,0,315,109
"Men of War: Assault Squad 2","2014","Strategy",0,0,0,0
"Multigaming","2000","Strategy",148384.33,148384.33,19,3
"osu!","2007","Strategy",38460,200,1090,12
"Playchess.com","2002","Strategy",32866.58,0,116,9
"Pok<U+00E9>mon VGC","2017","Strategy",211500,211500,170,24
"Prophecy","2020","Strategy",13000,0,27,4
"Rise of Nations: Rise of Legends","2006","Strategy",69600,69600,8,1
"Sea of Thieves","2016","Strategy",1e+05,0,67,4
"Star Wars: Squadrons","2020","Strategy",800,0,4,1
"StarCraft II","2010","Strategy",34734474.78,29074484.73,2087,6066
"StarCraft: Brood War","1998","Strategy",8430170.61,8002899.32,682,681
"Super Mario Party","2018","Strategy",220,220,4,1
"Supreme Commander","2007","Strategy",4901.26,4901.26,0,1
"Supreme Commander: Forged Alliance","2007","Strategy",1290.01,1290.01,0,1
